ticket_id,created_date,channel,category,customer_segment,region,agent,resolution_hours,status,csat_score
100001,2026-01-01,Web,Booking Change,Corporate,Surabaya,A03,5.7,Resolved,5
100002,2026-01-01,Web,Flight Delay,Leisure,Jakarta,A04,4.8,Resolved,5
100003,2026-01-01,Email,Booking Change,First-time,Surabaya,A10,5.1,Resolved,5
100004,2026-01-01,Web,Flight Delay,Corporate,Surabaya,A13,21.5,Resolved,5
100005,2026-01-01,Call Center,Booking Change,Corporate,Makassar,A13,8.6,Resolved,1
100006,2026-01-01,Call Center,Booking Change,Corporate,Makassar,A10,6.7,Resolved,5
100007,2026-01-01,Web,Baggage Issue,Corporate,Jakarta,A14,22.7,Resolved,5
100008,2026-01-01,App,Refund Request,Business,Bali,A10,35.7,Resolved,4
100009,2026-01-01,Call Center,Refund Request,First-time,Medan,A15,20.2,Resolved,3
100010,2026-01-01,Call Center,Cancellation,Business,Jakarta,A07,6.1,Resolved,5
100011,2026-01-01,Email,Loyalty/Account,Corporate,Surabaya,A07,5.7,Resolved,5
100012,2026-01-01,Email,Cancellation,Corporate,Makassar,A15,6.2,Resolved,5
100013,2026-01-01,Email,Loyalty/Account,Business,Makassar,A02,4.1,Resolved,5
100014,2026-01-01,Email,Cancellation,Leisure,Medan,A10,2.1,Resolved,5
100015,2026-01-01,WhatsApp,Loyalty/Account,Leisure,Jakarta,A13,3.8,Resolved,5
100016,2026-01-01,Web,Flight Delay,Corporate,Makassar,A09,18.8,Resolved,1
100017,2026-01-01,Call Center,Refund Request,Business,Surabaya,A13,45.7,Resolved,1
100018,2026-01-01,App,Baggage Issue,First-time,Jakarta,A15,33.2,Resolved,1
100019,2026-01-01,Web,Complaint,Business,Jakarta,A15,20.5,Resolved,3
100020,2026-01-01,Email,Loyalty/Account,Business,Surabaya,A09,3.7,Resolved,4
100021,2026-01-01,Web,Baggage Issue,Business,Makassar,A12,9.1,Resolved,5
100022,2026-01-01,Web,Flight Delay,Leisure,Surabaya,A02,26.5,Resolved,1
100023,2026-01-01,App,Refund Request,Business,Jakarta,A12,24.1,Resolved,2
100024,2026-01-01,Email,Booking Change,Business,Bali,A04,4.7,Resolved,4
100025,2026-01-01,Email,Loyalty/Account,First-time,Surabaya,A13,3.4,Resolved,5
100026,2026-01-01,App,Flight Delay,Leisure,Jakarta,A07,13.2,Resolved,2
100027,2026-01-01,WhatsApp,Booking Change,Business,Surabaya,A08,7.0,Resolved,1
