topic,question,answer
Refund,"How do I request a refund for my flight?","Refunds can be requested from the App or Web under 'My Trips > Request Refund'. Processing takes up to 30 days depending on the payment method. For cancelled flights by the airline, refunds are automatic within 14 days."
Refund,"How long does a refund take?","Standard refunds are processed within 30 days. If the flight was cancelled by the carrier, the refund is issued automatically within 14 days to the original payment method."
Baggage,"My baggage is delayed what should I do?","Report delayed baggage at the arrival airport desk or via the App within 24 hours. We trace the bag and deliver it; compensation follows IATA rules if not recovered within 21 days."
Baggage,"What is the baggage allowance for domestic flights?","Economy domestic allowance is 20kg checked plus 7kg cabin. Excess weight is charged per kg at the airport counter rate."
Flight Delay,"My flight is delayed am I entitled to compensation?","For delays over 3 hours on our operated flights, you receive a meal voucher and rebooking assistance. Cash compensation applies only where local regulation (e.g. EU261) is in force."
Flight Delay,"Can I rebook if my flight is cancelled?","Yes. Cancelled flights can be rebooked free of charge to the next available same-route flight via the App or Call Center within 24 hours of cancellation."
Booking Change,"How do I change my travel date?","Date changes are available under 'My Trips > Manage Booking' up to 4 hours before departure. A fare difference may apply; change fee is waived for Flex tickets."
Booking Change,"Can I change the passenger name on a ticket?","Name corrections of up to 3 characters are free; full passenger name changes are not permitted and require a new booking."
Loyalty,"How do I earn loyalty points?","Points are earned on every completed trip and credited 7 days after travel. Tier status is reviewed every 12 months based on annual points."
Loyalty,"How do I use my loyalty points?","Points can be redeemed for seat upgrades, extra baggage, and flight discounts in the Loyalty section of the App. Minimum redemption is 1,000 points."
Complaint,"How do I file a complaint about service?","Complaints can be submitted via the App 'Help > Feedback', by email, or the Call Center. We aim to respond within 2 business days and resolve within 5."
Complaint,"Where can I see the status of my complaint?","Complaint status is visible in the App under 'Help > My Tickets' and updated at each handling stage."
General,"What are the customer care operating hours?","Care is available 24/7 via App and WhatsApp; Call Center is 06:00-22:00 local time."
General,"How do I contact customer care?","Reach us via the App, Web chat, WhatsApp, email, or Call Center. App and WhatsApp have the shortest response time."
